"zoo_label","tau","nearest_zoo","nearest_cograph"
"NL centrality",0.943,"Current-flow Closeness","current_flow_closeness"
"Random walk decay",0.941,"PageRank","pagerank"
"TOPSIS-RE",0.941,"Betweenness","betweenness"
"Weighted formal concept analysis (WFCA)",0.94,"Degree","degree"
"Correlation centrality",0.94,"Infection number","infection"
"Random walk-based gravity (DFS-Gravity)",0.94,"Laplacian","laplacian"
"Improved K-shell decomposition (IKSD)",0.94,"Lobby index","lobby"
"All-around score",0.939,"Degree","degree"
"Entropy and mutual information-based centrality (EMI)",0.939,"Degree","degree"
"X-nonbacktracking centrality",0.938,"Subgraph","subgraph"
"μ-Power Community Index (μ-PCI)",0.937,"Lobby index","lobby"
"KDEC method",0.937,"Gravity centrality","gravity"
"MCC",0.935,"Degree","degree"
"Local structural centrality (LSC)",0.935,"Markov","markov"
"Analytic Hierarchy Process (AHP) centrality",0.935,"Harmonic","harmonic"
"Hybrid Characteristic Centrality (HCC)",0.935,"Diffusion Degree","diffusion"
"Iterative resource allocation (IRA)",0.934,"Local H-index","local_hindex"
"Global and local information (GLI) method",0.933,"Diffusion Degree","diffusion"
"Eigentrust",0.932,"Degree","degree"
"Seeley’s index",0.932,"Degree","degree"
"X-degree centrality",0.931,"Diffusion Degree","diffusion"
"Diversity-strength ranking (DSR)",0.931,"Infection number","infection"
"Node importance contribution correlation matrix (NICCM) method",0.931,"Random walk centrality","random_walk"
"Entropy-based gravity model",0.929,"Communicability betweenness","communicability_betweenness"
"LRIC (PPR)",0.928,"Degree","degree"
"Hybrid Global Structure Model (H-GSM)",0.928,"Laplacian","laplacian"
"Degree and Importance of Lines (DIL)",0.928,"Degree","degree"
"Degree and clustering coefficient (DCC)",0.928,"Diffusion Degree","diffusion"
"Normalized local centrality (NLC)",0.926,"Markov","markov"
"Spreading probability (SP)",0.925,"Infection number","infection"
"Malatya centrality",0.924,"Leverage","leverage"
"k-truss number",0.922,"k-shell","coreness"
"RCFB centrality",0.921,"Current-flow betweenness","current_flow_betweenness"
"All cycle betweenness (ACC)",0.92,"Cross-Clique Connectivity","cross_clique"
"Edge-disjoint k-path",0.919,"Markov","markov"
"Trust-PageRank",0.919,"Degree","degree"
"Semi-local iterative algorithm (semi-IA)",0.916,"Diffusion Degree","diffusion"
"Effective gravity model (EGM)",0.916,"Hubbel","hubbell"
"TOPSIS",0.914,"Distance-weighted fragmentation","fragmentation"
"Diversity-strength centrality (DSC)",0.914,"Degree","degree"
"DST",0.913,"Spanning tree centrality (STC)","spanning_tree"
"Path-transfer centrality",0.913,"Markov","markov"
"Probabilistic-jumping Random Walk (PJRW)",0.913,"Degree","degree"
"Randomized shortest paths (RSP) betweenness",0.912,"PageRank","pagerank"
"New evidential centrality (NEC)",0.911,"Degree","degree"
"NWRank",0.91,"Communicability betweenness","communicability_betweenness"
"Hybrid centrality (HC)",0.909,"Harmonic","harmonic"
"Vertex-disjoint k-path",0.907,"Random walk centrality","random_walk"
"M-centrality",0.907,"Hubbel","hubbell"
"Synthesize centrality (SC)",0.905,"Degree","degree"
"Meta-centrality",0.905,"Hubbel","hubbell"
"Biased random walk centrality",0.903,"Degree","degree"
"LRIC (max)",0.902,"Degree","degree"
"Inward accessibility",0.902,"Communicability betweenness","communicability_betweenness"
"Edge clustering coefficient centrality (NC)",0.902,"Cross-Clique Connectivity","cross_clique"
"Improved closeness centrality (ICC)",0.902,"Closeness","closeness"
"Transportation centrality",0.9,"Degree","degree"
