package,fun,cograph,note
CINNA,Community Centrality,-,"link-community centrality; not implemented, see centiserve communitycent"
CINNA,Group Centrality,-,cograph has group_centrality() as a set-level verb, not a node measure
CINNA,EPC - Edge Percolated Component,epc,
CINNA,Closeness centrality (Latora),harmonic,identical to cograph's harmonic centrality
networkx,dispersion,-,cograph has dispersion() as a pair-level verb
networkx,estrada_index,-,cograph has estrada_index() as a graph-level verb
networkx,group_betweenness_centrality,-,cograph has group_centrality() as a set-level verb
networkx,global_reaching_centrality,-,cograph has reaching_global() as a graph-level verb
brainGraph,s_core,s_core,cograph reports the strength threshold (Eidsaa & Almaas eq. 1); brainGraph reports the peeling round and short-circuits to coreness when unweighted
brainGraph,vulnerability,-,cograph has vulnerability() as a separate verb
brainGraph,efficiency,local_efficiency,nodal efficiency equals harmonic centrality over n-1; local efficiency is the new local_efficiency measure
sna,kpath.census,kpath,
keyplayer,fragment,fragmentation,node-level distance-weighted fragmentation; keyplayer also scores a given set
keyplayer,kpset,-,greedy key-player set selection; cograph evaluates a given set with group_centrality() but does not search for one
