"measure_1","measure_2","tau","networks"
"closeness","reaching_local",0.9356,19
"lin","reaching_local",0.9356,19
"radiality","reaching_local",0.9356,19
"reaching_local","wiener",-0.9356,19
"delta_closeness","fragmentation",0.9355,14
"fragmentation","gilschmidt",0.9355,14
"average_distance","harmonic",-0.9355,19
"barycenter","harmonic",0.9355,19
"closeness","harmonic",0.9355,19
"harmonic","lin",0.9355,19
"harmonic","radiality",0.9355,19
"harmonic","wiener",-0.9355,19
"leverage","shapley_game1",0.9348,19
"expected_influence_2","laplacian",0.9347,19
"degree","pagerank",0.9345,19
"expected_influence_1","pagerank",0.9345,19
"pagerank","strength",0.9345,19
"authority","expected_influence_2",0.9343,19
"diffusion","kpath",0.9339,19
"degree","local_bridging",-0.9337,19
"expected_influence_1","local_bridging",-0.9337,19
"delta_closeness","node_contraction_improved",0.9337,14
"gilschmidt","node_contraction_improved",0.9337,14
"local_bridging","strength",-0.9337,19
"authority","kpath",0.9336,19
"average_distance","delta_closeness",-0.9335,19
"barycenter","delta_closeness",0.9335,19
"closeness","delta_closeness",0.9335,19
"average_distance","gilschmidt",-0.9335,19
"barycenter","gilschmidt",0.9335,19
"closeness","gilschmidt",0.9335,19
"delta_closeness","lin",0.9335,19
"gilschmidt","lin",0.9335,19
"delta_closeness","radiality",0.9335,19
"gilschmidt","radiality",0.9335,19
"delta_closeness","wiener",-0.9335,19
"gilschmidt","wiener",-0.9335,19
"laplacian","subgraph",0.9332,19
"communicability_betweenness","laplacian",0.933,19
"communicability","expected_influence_2",0.9324,19
"harmonic","node_contraction_improved",0.9321,14
"node_contraction_improved","reaching_local",0.9321,14
"voterank","wvoterank",0.9319,19
"communicability","laplacian",0.9318,19
"authority","expected",0.9317,19
"diffusion","subgraph",0.9314,19
"hub","subgraph",0.931,19
"hub","nonbacktracking",0.9307,19
"eigenvector","expected_influence_2",0.9298,19
"communicability_betweenness","kpath",0.9294,19
"communicability","expected",0.9289,19
"eigenvector","laplacian",0.9288,19
"authority","semilocal",0.9286,19
"expected","laplacian",0.928,19
"authority","laplacian",0.9275,19
"gravity","katz",0.927,19
"eigenvector","expected",0.9265,19
"kpath","nonbacktracking",0.925,19
"communicability","semilocal",0.9249,19
"centroid","dangalchev",0.9248,19
"centroid","decay",0.9248,19
"centroid","generalized_closeness",0.9248,19
"centroid","residual_closeness",0.9248,19
"integration","reaching_local",0.9246,19
"harmonic","integration",0.9245,19
"katz","random_walk",0.9245,19
"expected_influence_2","kpath",0.9243,19
"centroid","harary",0.924,19
"centroid","node_contraction_improved",0.924,14
"expected_influence_2","subgraph",0.924,19
"harary","markov",0.9237,19
"gravity","kpath",0.9235,19
"degree","mnc",0.9228,18
"expected_influence_1","mnc",0.9228,18
"mnc","strength",0.9228,18
"expected","weighted_h_index",0.9228,19
"delta_closeness","integration",0.9226,19
"gilschmidt","integration",0.9226,19
"information","katz",0.9225,19
"eigenvector","semilocal",0.9223,19
"katz","spanning_tree",0.9218,19
"local_efficiency","transitivity",0.9214,18
