"measure_1","measure_2","tau","networks"
"node_contraction_improved","s_shell",0.7366,14
"harary","local_volume_dimension",-0.7365,19
"local_bridging","onion",-0.7365,19
"enrenew","local_dimension_fixed",-0.7364,19
"constraint","gravity",-0.7363,19
"leverage","voterank",0.7361,19
"enrenew","node_contraction_improved",0.736,14
"delta_betweenness","node_contraction_improved",0.7359,14
"local_entropy","onion",-0.7358,19
"community_mediator","expected_influence_2",0.7357,19
"hide_information","onion",-0.7357,19
"closeness_vitality","expected_influence_2",-0.7356,19
"ego_betweenness","leverage",0.7354,19
"communicability","community_mediator",0.735,19
"local_entropy","mnc",-0.735,18
"authority","closeness_vitality",-0.7348,19
"coreness","laplacian",0.7346,19
"laplacian","local_hindex",0.7346,19
"laplacian","s_core",0.7346,19
"laplacian","weighted_kshell",0.7346,19
"community_mediator","node_contraction",0.7344,19
"ego_betweenness","local_bridging",-0.7343,19
"local_dimension_fixed","shapley_game1",-0.7342,19
"coreness","subgraph",0.7341,19
"local_hindex","subgraph",0.7341,19
"s_core","subgraph",0.7341,19
"subgraph","weighted_kshell",0.7341,19
"community_mediator","pagerank",0.7337,19
"local_bridging","wvoterank",-0.7334,19
"degree","delta_betweenness",0.7333,19
"delta_betweenness","expected_influence_1",0.7333,19
"community_mediator","mnc",0.7333,18
"delta_betweenness","strength",0.7333,19
"average_distance","comm_centrality",-0.7331,19
"barycenter","comm_centrality",0.7331,19
"closeness","comm_centrality",0.7331,19
"comm_centrality","lin",0.7331,19
"comm_centrality","radiality",0.7331,19
"comm_centrality","wiener",-0.7331,19
"constraint","laplacian",-0.7329,19
"heatmap","markov",-0.7329,19
"length_scaled_betweenness","node_contraction_improved",0.7329,14
"comm_centrality","epc",0.7328,14
"community_mediator","expected",0.7328,19
"harary","stress",0.7328,19
"community_mediator","local_bridging",-0.7327,19
"coreness","markov",0.7327,19
"local_hindex","markov",0.7327,19
"markov","s_core",0.7327,19
"markov","weighted_kshell",0.7327,19
"closeness_vitality","communicability",-0.7322,19
"closeness_vitality","eigenvector",-0.732,19
"closeness_vitality","node_contraction",-0.732,19
"coreness","random_walk",0.732,19
"local_hindex","random_walk",0.732,19
"random_walk","s_core",0.732,19
"random_walk","weighted_kshell",0.732,19
"closeness_vitality","expected",-0.7319,19
"authority","community_mediator",0.7318,19
"local_dimension","local_dimension_fixed",0.7318,19
"local_entropy","random_walk",-0.7317,19
"fuzzy_local_dimension","subgraph",0.7317,19
"local_dimension","markov",-0.7316,19
"coreness","information",0.7315,19
"load","local_bridging",-0.7315,19
"average_distance","local_entropy",0.7315,19
"barycenter","local_entropy",-0.7315,19
"closeness","local_entropy",-0.7315,19
"lin","local_entropy",-0.7315,19
"information","local_hindex",0.7315,19
"local_entropy","radiality",-0.7315,19
"information","s_core",0.7315,19
"local_bridging","two_way_rw",-0.7315,14
"information","weighted_kshell",0.7315,19
"local_entropy","wiener",0.7315,19
"flow_betweenness","gravity",0.7314,19
"authority","lac",0.7314,18
"authority","redundancy",0.7314,18
"information","local_entropy",-0.7313,19
"integration","stress",0.7313,19
"node_contraction_improved","stress",0.7313,14
"harary","local_entropy",-0.7311,19
"betweenness","local_bridging",-0.731,19
"coreness","nonbacktracking",0.731,19
"local_hindex","nonbacktracking",0.731,19
"local_bridging","percolation",-0.731,19
"nonbacktracking","s_core",0.731,19
"nonbacktracking","weighted_kshell",0.731,19
"coreness","spanning_tree",0.7309,19
"local_hindex","spanning_tree",0.7309,19
"s_core","spanning_tree",0.7309,19
"spanning_tree","weighted_kshell",0.7309,19
"closeness_vitality","community_based",-0.7308,19
"average_distance","effective_size",-0.7308,19
"barycenter","effective_size",0.7308,19
"closeness","effective_size",0.7308,19
"effective_size","lin",0.7308,19
"effective_size","radiality",0.7308,19
"effective_size","wiener",-0.7308,19
"coreness","current_flow_closeness",0.7307,19
"current_flow_closeness","local_hindex",0.7307,19
"community_based","local_volume_dimension",-0.7307,19
"current_flow_closeness","s_core",0.7307,19
"current_flow_closeness","weighted_kshell",0.7307,19
"local_entropy","spanning_tree",-0.7306,19
"average_distance","flow_betweenness",-0.7305,19
"barycenter","flow_betweenness",0.7305,19
"closeness","flow_betweenness",0.7305,19
"flow_betweenness","lin",0.7305,19
"flow_betweenness","radiality",0.7305,19
"flow_betweenness","wiener",-0.7305,19
"community_mediator","eigenvector",0.7304,19
"average_distance","onion",-0.7304,19
"barycenter","onion",0.7304,19
"closeness","onion",0.7304,19
"lin","onion",0.7304,19
"onion","radiality",0.7304,19
"onion","wiener",-0.7304,19
"diffusion","pagerank",0.7302,19
"eigenvector","lac",0.7301,18
"current_flow_closeness","local_entropy",-0.7301,19
"eigenvector","redundancy",0.7301,18
"pagerank","subgraph",0.7301,19
"collective_influence","degree",0.73,19
"collective_influence","expected_influence_1",0.73,19
"mnc","s_shell",0.73,18
"collective_influence","strength",0.73,19
"cross_clique","infection",0.7299,14
"hub","lac",0.7299,18
"hub","redundancy",0.7299,18
"diffusion","lac",0.7298,18
"diffusion","redundancy",0.7298,18
"constraint","kpath",-0.7297,19
"closeness_vitality","pagerank",-0.7297,19
"local_volume_dimension","onion",-0.7292,19
"katz","local_dimension",-0.7291,19
"gravity","renewed_coreness",0.7291,19
"infection","weighted_h_index",0.729,14
"coreness","diffusion",0.7289,19
"diffusion","local_hindex",0.7289,19
"diffusion","s_core",0.7289,19
"diffusion","weighted_kshell",0.7289,19
"communicability","lac",0.7288,18
"communicability","redundancy",0.7288,18
"local_dimension","random_walk",-0.7286,19
"constraint","integration",-0.7284,19
"flow_betweenness","katz",0.7283,19
"community_mediator","subgraph",0.7283,19
"information","local_dimension",-0.7282,19
"ego_betweenness","shapley_game1",0.7282,19
"community_mediator","semilocal",0.728,19
"local_bridging","subgraph",-0.728,19
"comm_centrality","cross_clique",0.7279,19
"degree","stress",0.7277,19
"expected_influence_1","stress",0.7277,19
"strength","stress",0.7277,19
"closeness_vitality","semilocal",-0.7275,19
"node_contraction_improved","shapley_game1",0.7275,14
"local_dimension","spanning_tree",-0.7275,19
"heatmap","mnc",-0.7273,18
"comm_centrality","communicability_betweenness",0.7272,19
"communicability","coreness",0.7271,19
"coreness","epc",0.7271,14
"current_flow_closeness","local_dimension",-0.7271,19
"communicability","local_hindex",0.7271,19
"epc","local_hindex",0.7271,14
"communicability","s_core",0.7271,19
"epc","s_core",0.7271,14
"communicability","weighted_kshell",0.7271,19
"epc","weighted_kshell",0.7271,14
"fragmentation","topological_coefficient",-0.727,14
"delta_closeness","local_volume_dimension",-0.7269,19
"gilschmidt","local_volume_dimension",-0.7269,19
"authority","coreness",0.7268,19
"authority","local_hindex",0.7268,19
"authority","s_core",0.7268,19
"authority","weighted_kshell",0.7268,19
"coreness","eigenvector",0.7264,19
"eigenvector","local_hindex",0.7264,19
"eigenvector","s_core",0.7264,19
"eigenvector","weighted_kshell",0.7264,19
"degree","length_scaled_betweenness",0.7263,19
"expected_influence_1","length_scaled_betweenness",0.7263,19
"ego_betweenness","node_contraction_improved",0.7263,14
"length_scaled_betweenness","strength",0.7263,19
"degree","ego_betweenness",0.7262,19
"ego_betweenness","expected_influence_1",0.7262,19
"ego_betweenness","strength",0.7262,19
"centroid","collective_influence",0.7261,19
"local_dimension_fixed","markov",-0.7261,19
"comm_centrality","onion",0.7259,19
"expected_influence_2","lac",0.7258,18
"expected_influence_2","redundancy",0.7258,18
"communicability","fuzzy_local_dimension",0.7256,19
"harmonic","local_volume_dimension",-0.7256,19
"local_volume_dimension","reaching_local",-0.7256,19
"community_mediator","effective_size",0.7255,19
"gravity","heatmap",-0.7254,19
"community_based","enrenew",0.7249,19
"coreness","expected_influence_2",0.7249,19
"expected_influence_2","local_hindex",0.7249,19
"expected_influence_2","s_core",0.7249,19
"expected_influence_2","weighted_kshell",0.7249,19
"cross_clique","hide_information",-0.7248,19
"eigenvector","fuzzy_local_dimension",0.7247,19
"load","node_contraction_improved",0.7247,14
"kpath","lac",0.7246,18
"kpath","redundancy",0.7246,18
"expected","lac",0.7245,18
"expected","redundancy",0.7245,18
"centroid","ego_betweenness",0.7242,19
"authority","fuzzy_local_dimension",0.7241,19
"coreness","expected",0.7239,19
"expected","local_hindex",0.7239,19
"expected","s_core",0.7239,19
"expected","weighted_kshell",0.7239,19
"communicability_betweenness","fuzzy_local_dimension",0.7238,19
"diffusion","fuzzy_local_dimension",0.7236,19
"community_mediator","hindex_strength",0.7232,19
"community_mediator","lobby",0.7232,19
"eigenvector","pagerank",0.7232,19
"node_contraction_improved","percolation",0.7232,14
"closeness_vitality","subgraph",-0.7232,19
"collective_influence","local_bridging",-0.7231,19
"betweenness","node_contraction_improved",0.7231,14
"local_bridging","stress",-0.7231,19
"comm_centrality","integration",0.7228,19
"closeness_vitality","heatmap",0.7227,19
"fragmentation","onion",0.7227,14
"average_distance","kreach",-0.7225,7
"barycenter","kreach",0.7225,7
"closeness","kreach",0.7225,7
"kreach","lin",0.7225,7
"local_dimension_fixed","node_contraction",-0.7225,19
"kreach","radiality",0.7225,7
"kreach","wiener",-0.7225,7
"average_distance","s_shell",-0.7224,19
"barycenter","s_shell",0.7224,19
"closeness","s_shell",0.7224,19
"lin","s_shell",0.7224,19
"radiality","s_shell",0.7224,19
"s_shell","wiener",-0.7224,19
"bridging","flow_coefficient",0.7223,18
"ego_betweenness","heatmap",-0.7222,19
"enrenew","harary",0.7221,19
"collective_influence","harary",0.7219,19
"effective_size","integration",0.7218,19
"local_dimension_fixed","random_walk",-0.7218,19
"communicability","pagerank",0.7217,19
"flow_betweenness","integration",0.7216,19
"information","local_dimension_fixed",-0.7214,19
"community_mediator","weighted_h_index",0.7214,19
"communicability_betweenness","renewed_coreness",0.7212,19
"local_dimension_fixed","spanning_tree",-0.721,19
"current_flow_closeness","local_dimension_fixed",-0.7209,19
"community_based","shapley_game1",0.7209,19
"gravity","lac",0.7208,18
"integration","onion",0.7208,19
"expected_influence_2","pagerank",0.7208,19
"gravity","redundancy",0.7208,18
"flow_betweenness","fragmentation",0.7205,14
"authority","pagerank",0.7204,19
"closeness_vitality","hindex_strength",-0.72,19
"closeness_vitality","lobby",-0.72,19
"katz","lac",0.7198,18
"katz","redundancy",0.7198,18
"comm_centrality","diffusion",0.7197,19
"fragmentation","fuzzy_local_dimension",0.7197,14
"current_flow_betweenness","hide_information",-0.7196,19
"dangalchev","leverage",0.7195,19
"decay","leverage",0.7195,19
"generalized_closeness","leverage",0.7195,19
"leverage","residual_closeness",0.7195,19
"lac","laplacian",0.7194,18
"laplacian","redundancy",0.7194,18
"node_contraction","onion",0.7193,19
"average_distance","fuzzy_local_dimension",-0.7191,19
"barycenter","fuzzy_local_dimension",0.7191,19
"closeness","fuzzy_local_dimension",0.7191,19
"fuzzy_local_dimension","lin",0.7191,19
"integration","local_entropy",-0.7191,19
"fuzzy_local_dimension","radiality",0.7191,19
"fuzzy_local_dimension","wiener",-0.7191,19
"harary","infection",0.7187,14
"fuzzy_local_dimension","node_contraction",0.7186,19
"leverage","random_walk",0.7186,19
"current_flow_closeness","leverage",0.7183,19
"closeness_vitality","local_bridging",0.7183,19
"information","leverage",0.7181,19
"random_walk","renewed_coreness",0.7179,19
"cross_clique","local_entropy",-0.7178,19
"node_contraction","subgraph",0.7178,19
"cross_clique","fuzzy_local_dimension",0.7176,19
"fuzzy_local_dimension","hindex_strength",0.7175,19
"fuzzy_local_dimension","lobby",0.7175,19
"information","renewed_coreness",0.7175,19
"leverage","spanning_tree",0.7175,19
"node_contraction","wvoterank",0.7175,19
"expected_influence_2","fuzzy_local_dimension",0.7174,19
"diffusion","node_contraction",0.7173,19
"collective_influence","pagerank",0.7172,19
"pagerank","wvoterank",0.7171,19
"fuzzy_local_dimension","nonbacktracking",0.7169,19
"renewed_coreness","spanning_tree",0.7169,19
"leverage","markov",0.7167,19
"community_mediator","nonbacktracking",0.7166,19
"current_flow_closeness","renewed_coreness",0.7166,19
"integration","kreach",0.7165,7
"centroid","shapley_game1",0.7164,19
"cross_clique","enrenew",0.7162,19
"delta_betweenness","harary",0.7161,19
"flow_betweenness","hindex_strength",0.7161,19
"flow_betweenness","lobby",0.7161,19
"comm_centrality","expected_influence_2",0.716,19
"community_based","coreness",0.7157,19
"communicability","local_bridging",-0.7157,19
"community_based","local_hindex",0.7157,19
"community_based","s_core",0.7157,19
"community_based","weighted_kshell",0.7157,19
"betweenness","degree",0.7156,19
"betweenness","expected_influence_1",0.7156,19
"degree","percolation",0.7156,19
"expected_influence_1","percolation",0.7156,19
"betweenness","strength",0.7156,19
"percolation","strength",0.7156,19
"local_volume_dimension","s_shell",-0.7155,19
"degree","load",0.7153,19
"expected_influence_1","load",0.7153,19
"harary","shapley_game1",0.7153,19
"load","strength",0.7153,19
"communicability","node_contraction",0.7151,19
"communicability_betweenness","heatmap",-0.715,19
"enrenew","flow_betweenness",0.7148,19
"current_flow_betweenness","wvoterank",0.7147,19
"lac","semilocal",0.7145,18
"redundancy","semilocal",0.7145,18
"coreness","semilocal",0.7142,19
"local_hindex","semilocal",0.7142,19
"s_core","semilocal",0.7142,19
"semilocal","weighted_kshell",0.7142,19
"eigenvector","local_bridging",-0.7141,19
"gravity","local_dimension",-0.7141,19
"effective_size","epc",0.7138,14
"expected","fuzzy_local_dimension",0.7136,19
"current_flow_betweenness","epc",0.7135,14
"expected","pagerank",0.7135,19
"laplacian","local_dimension",-0.7133,19
"authority","node_contraction",0.7133,19
"eigenvector","node_contraction",0.7131,19
"integration","s_shell",0.7131,19
"harary","length_scaled_betweenness",0.7129,19
"comm_centrality","expected",0.7123,19
"katz","local_dimension_fixed",-0.7122,19
"local_bridging","nonbacktracking",-0.7122,19
"nonbacktracking","pagerank",0.7122,19
"hide_information","local_volume_dimension",0.712,19
"leverage","stress",0.7119,19
"coreness","lac",0.7115,18
"flow_betweenness","laplacian",0.7115,19
"lac","local_hindex",0.7115,18
"coreness","redundancy",0.7115,18
"local_hindex","redundancy",0.7115,18
"lac","s_core",0.7115,18
"redundancy","s_core",0.7115,18
"lac","weighted_kshell",0.7115,18
"redundancy","weighted_kshell",0.7115,18
"coreness","harary",0.7113,19
"delta_closeness","infection",0.7113,14
"gilschmidt","infection",0.7113,14
"authority","local_bridging",-0.7113,19
"harary","local_hindex",0.7113,19
"collective_influence","node_contraction_improved",0.7113,14
"harary","s_core",0.7113,19
"harary","weighted_kshell",0.7113,19
"community_mediator","epc",0.7112,14
"diffusion","local_bridging",-0.7112,19
"centroid","enrenew",0.711,19
"dangalchev","local_volume_dimension",-0.711,19
"decay","local_volume_dimension",-0.711,19
"generalized_closeness","local_volume_dimension",-0.711,19
"local_volume_dimension","residual_closeness",-0.711,19
"delta_betweenness","flow_betweenness",0.7109,19
"kpath","local_dimension",-0.7106,19
"markov","renewed_coreness",0.7106,19
"constraint","epc",-0.7105,14
"delta_betweenness","harmonic",0.7105,19
"delta_betweenness","reaching_local",0.7105,19
"harmonic","infection",0.7104,14
"infection","reaching_local",0.7104,14
"flow_betweenness","kpath",0.7103,19
"community_hub_bridge","degree",0.7101,19
"community_hub_bridge","expected_influence_1",0.7101,19
"community_hub_bridge","strength",0.7101,19
"current_flow_betweenness","gravity",0.71,19
"fuzzy_local_dimension","integration",0.7099,19
"community_mediator","current_flow_betweenness",0.7098,19
"community_mediator","heatmap",-0.7096,19
"constraint","heatmap",0.7096,19
"effective_size","katz",0.7092,19
"effective_size","gravity",0.7091,19
"expected_influence_2","node_contraction",0.7091,19
"current_flow_betweenness","enrenew",0.709,19
"community_based","community_mediator",0.7089,19
"dangalchev","delta_betweenness",0.7089,19
"decay","delta_betweenness",0.7089,19
"delta_betweenness","generalized_closeness",0.7089,19
"delta_betweenness","residual_closeness",0.7089,19
"enrenew","heatmap",-0.7088,19
"harary","local_dimension",-0.7085,19
"shapley_game1","stress",0.7085,19
"delta_betweenness","delta_closeness",0.7084,19
"delta_betweenness","gilschmidt",0.7084,19
"fuzzy_local_dimension","hide_information",-0.7082,19
"harmonic","length_scaled_betweenness",0.7081,19
"length_scaled_betweenness","reaching_local",0.7081,19
"current_flow_betweenness","mnc",0.7079,18
"stress","topological_coefficient",-0.7078,19
"average_distance","delta_betweenness",-0.7074,19
"barycenter","delta_betweenness",0.7074,19
"closeness","delta_betweenness",0.7074,19
"delta_betweenness","lin",0.7074,19
"delta_betweenness","radiality",0.7074,19
"delta_betweenness","wiener",-0.7074,19
"node_contraction","two_way_rw",0.707,14
"comm_centrality","nonbacktracking",0.7068,19
"dangalchev","length_scaled_betweenness",0.7067,19
"decay","length_scaled_betweenness",0.7067,19
"flow_betweenness","length_scaled_betweenness",0.7067,19
"generalized_closeness","length_scaled_betweenness",0.7067,19
"length_scaled_betweenness","residual_closeness",0.7067,19
"authority","comm_centrality",0.7065,19
"comm_centrality","hide_information",-0.7065,19
"pagerank","two_way_rw",0.7065,14
"collective_influence","delta_closeness",0.7062,19
"collective_influence","gilschmidt",0.7062,19
"delta_closeness","length_scaled_betweenness",0.7062,19
"gilschmidt","length_scaled_betweenness",0.7062,19
"closeness_vitality","community_mediator",-0.7061,19
"collective_influence","harmonic",0.7061,19
"closeness_vitality","hide_information",0.7061,19
"collective_influence","reaching_local",0.7061,19
"centroid","renewed_coreness",0.706,19
"hide_information","renewed_coreness",-0.706,19
"degree","wvoterank",0.706,19
"expected_influence_1","wvoterank",0.706,19
"strength","wvoterank",0.706,19
"comm_centrality","eigenvector",0.7057,19
"fuzzy_local_dimension","semilocal",0.7055,19
"average_distance","length_scaled_betweenness",-0.7053,19
"barycenter","length_scaled_betweenness",0.7053,19
"closeness","length_scaled_betweenness",0.7053,19
"length_scaled_betweenness","lin",0.7053,19
"length_scaled_betweenness","radiality",0.7053,19
"length_scaled_betweenness","wiener",-0.7053,19
"epc","flow_betweenness",0.7052,14
"cross_clique","local_dimension",-0.7048,19
"random_walk","stress",0.7048,19
"coreness","infection",0.7046,14
"infection","local_hindex",0.7046,14
"infection","s_core",0.7046,14
"infection","weighted_kshell",0.7046,14
"information","stress",0.7043,19
"hub","pagerank",0.7042,19
"bridging","transitivity",-0.7041,18
"hide_information","local_entropy",0.704,19
"degree","local_entropy",-0.7039,19
"expected_influence_1","local_entropy",-0.7039,19
"local_entropy","strength",-0.7039,19
"effective_size","wvoterank",0.7039,19
"kpath","renewed_coreness",0.7038,19
"spanning_tree","stress",0.7038,19
"communicability_betweenness","coreness",0.7037,19
"ego_betweenness","hide_information",-0.7037,19
"communicability_betweenness","local_hindex",0.7037,19
"communicability","renewed_coreness",0.7037,19
"communicability_betweenness","s_core",0.7037,19
"current_flow_closeness","stress",0.7037,19
"communicability_betweenness","weighted_kshell",0.7037,19
"epc","fuzzy_local_dimension",0.7034,14
"harary","percolation",0.7034,19
"betweenness","harary",0.7033,19
"current_flow_betweenness","katz",0.7031,19
"harary","load",0.7029,19
"pagerank","topological_coefficient",-0.7029,19
"gravity","local_dimension_fixed",-0.7028,19
"node_contraction","nonbacktracking",0.7028,19
"pagerank","semilocal",0.7028,19
"comm_centrality","communicability",0.7027,19
"local_dimension_fixed","node_contraction_improved",-0.7025,14
"degree","lac",0.7024,18
"expected_influence_1","lac",0.7024,18
"degree","redundancy",0.7024,18
"expected_influence_1","redundancy",0.7024,18
"lac","strength",0.7024,18
"redundancy","strength",0.7024,18
"lac","weighted_h_index",0.7023,18
"redundancy","weighted_h_index",0.7023,18
"ego_betweenness","fragmentation",0.7022,14
"coreness","weighted_h_index",0.7022,19
"local_hindex","weighted_h_index",0.7022,19
"s_core","weighted_h_index",0.7022,19
"weighted_h_index","weighted_kshell",0.7022,19
"expected_influence_2","local_bridging",-0.702,19
"expected","node_contraction",0.702,19
"authority","renewed_coreness",0.7019,19
"enrenew","epc",0.7018,14
"enrenew","harmonic",0.7017,19
"local_dimension","node_contraction_improved",-0.7017,14
"enrenew","reaching_local",0.7017,19
"local_bridging","topological_coefficient",0.7016,19
"epc","infection",0.7014,14
"heatmap","katz",-0.7014,19
"eigenvector","renewed_coreness",0.7014,19
"delta_closeness","enrenew",0.7013,19
"enrenew","gilschmidt",0.7013,19
"degree","renewed_coreness",0.7013,19
"expected_influence_1","renewed_coreness",0.7013,19
"renewed_coreness","strength",0.7013,19
"diffusion","renewed_coreness",0.7012,19
"coreness","delta_closeness",0.701,19
"coreness","gilschmidt",0.701,19
"delta_closeness","local_hindex",0.701,19
"gilschmidt","local_hindex",0.701,19
"katz","renewed_coreness",0.701,19
"delta_closeness","s_core",0.701,19
"gilschmidt","s_core",0.701,19
"delta_closeness","weighted_kshell",0.701,19
"gilschmidt","weighted_kshell",0.701,19
"harmonic","load",0.7009,19
"load","reaching_local",0.7009,19
"fuzzy_local_dimension","local_information_dimension",0.7008,19
"harmonic","percolation",0.7008,19
"percolation","reaching_local",0.7008,19
"laplacian","renewed_coreness",0.7008,19
"comm_centrality","semilocal",0.7008,19
"betweenness","harmonic",0.7007,19
"betweenness","reaching_local",0.7007,19
"centroid","coreness",0.7005,19
"centroid","local_hindex",0.7005,19
"centroid","s_core",0.7005,19
"centroid","weighted_kshell",0.7005,19
"renewed_coreness","semilocal",0.7003,19
"collective_influence","dangalchev",0.7002,19
"collective_influence","decay",0.7002,19
"collective_influence","generalized_closeness",0.7002,19
"hide_information","infection",-0.7002,14
"dangalchev","percolation",0.7002,19
"decay","percolation",0.7002,19
"generalized_closeness","percolation",0.7002,19
"collective_influence","residual_closeness",0.7002,19
"percolation","residual_closeness",0.7002,19
"betweenness","dangalchev",0.7001,19
"betweenness","decay",0.7001,19
"betweenness","generalized_closeness",0.7001,19
"delta_betweenness","integration",0.7001,19
"betweenness","residual_closeness",0.7001,19
"coreness","harmonic",0.7,19
"epc","heatmap",-0.7,14
"harmonic","local_hindex",0.7,19
"coreness","reaching_local",0.7,19
"local_hindex","reaching_local",0.7,19
"harmonic","s_core",0.7,19
"reaching_local","s_core",0.7,19
"comm_centrality","subgraph",0.7,19
"harmonic","weighted_kshell",0.7,19
"reaching_local","weighted_kshell",0.7,19
"dangalchev","load",0.6998,19
"decay","load",0.6998,19
"generalized_closeness","load",0.6998,19
"load","residual_closeness",0.6998,19
"constraint","diffusion",-0.6995,19
"delta_closeness","load",0.6995,19
"gilschmidt","load",0.6995,19
"betweenness","flow_betweenness",0.6994,19
"flow_betweenness","percolation",0.6994,19
"fragmentation","shapley_game1",0.6994,14
"delta_closeness","percolation",0.6992,19
"gilschmidt","percolation",0.6992,19
"average_distance","betweenness",-0.6991,19
"barycenter","betweenness",0.6991,19
"betweenness","closeness",0.6991,19
"betweenness","delta_closeness",0.6991,19
"betweenness","gilschmidt",0.6991,19
"betweenness","lin",0.6991,19
"average_distance","percolation",-0.6991,19
"barycenter","percolation",0.6991,19
"closeness","percolation",0.6991,19
"lin","percolation",0.6991,19
"betweenness","radiality",0.6991,19
"percolation","radiality",0.6991,19
"betweenness","wiener",-0.6991,19
"percolation","wiener",-0.6991,19
"flow_betweenness","hide_information",-0.699,19
"average_distance","load",-0.699,19
"barycenter","load",0.699,19
"closeness","load",0.699,19
"lin","load",0.699,19
"load","radiality",0.699,19
"load","wiener",-0.699,19
"expected_influence_2","renewed_coreness",0.6987,19
"expected","renewed_coreness",0.6986,19
"integration","length_scaled_betweenness",0.6981,19
"mnc","shapley_game1",0.698,18
"flow_betweenness","load",0.6979,19
"ego_betweenness","harary",0.6977,19
"infection","node_contraction_improved",0.6975,14
"centroid","infection",0.6973,14
"epc","leverage",0.6973,14
"communicability_betweenness","effective_size",0.6972,19
"coreness","hub",0.6972,19
"hub","local_hindex",0.6972,19
"hub","s_core",0.6972,19
"hub","weighted_kshell",0.6972,19
"renewed_coreness","subgraph",0.6971,19
"collective_influence","current_flow_betweenness",0.697,19
"centroid","local_entropy",-0.697,19
"bottleneck","stress",0.6969,19
"heatmap","wvoterank",-0.6969,19
"enrenew","markov",0.6968,19
"leverage","two_way_rw",0.6966,14
"effective_size","laplacian",0.6963,19
"local_dimension","subgraph",-0.6963,19
"node_contraction_improved","two_way_rw",0.6962,14
"current_flow_closeness","enrenew",0.6961,19
"comm_centrality","fragmentation",0.696,14
"dangalchev","infection",0.696,14
"decay","infection",0.696,14
"generalized_closeness","infection",0.696,14
"infection","residual_closeness",0.696,14
"closeness_vitality","weighted_h_index",-0.696,19
"cross_clique","local_dimension_fixed",-0.6959,19
"hub","local_bridging",-0.6957,19
"community_mediator","stress",0.6956,19
"communicability_betweenness","current_flow_betweenness",0.6955,19
"lac","local_entropy",-0.6954,18
"local_entropy","redundancy",-0.6954,18
"fragmentation","s_shell",0.6954,14
"harary","renewed_coreness",0.6953,19
"enrenew","gravity",0.6952,19
"coreness","node_contraction_improved",0.6952,14
"local_hindex","node_contraction_improved",0.6952,14
"node_contraction_improved","s_core",0.6952,14
"effective_size","topological_coefficient",-0.6952,19
"node_contraction_improved","weighted_kshell",0.6952,14
"pagerank","weighted_h_index",0.695,19
"markov","stress",0.6948,19
"community_based","infection",0.6947,14
"fuzzy_local_dimension","hub",0.6946,19
"expected","local_bridging",-0.6946,19
"harmonic","shapley_game1",0.6945,19
"reaching_local","shapley_game1",0.6945,19
"enrenew","katz",0.6943,19
"enrenew","hindex_strength",0.694,19
"enrenew","lobby",0.694,19
"delta_closeness","shapley_game1",0.694,19
"gilschmidt","shapley_game1",0.694,19
"communicability","constraint",-0.6939,19
"enrenew","random_walk",0.6938,19
"node_contraction_improved","topological_coefficient",-0.6938,14
"harary","local_dimension_fixed",-0.6937,19
"enrenew","spanning_tree",0.6937,19
"heatmap","laplacian",-0.6936,19
"hindex_strength","local_dimension",-0.6936,19
"lobby","local_dimension",-0.6936,19
"delta_betweenness","random_walk",0.6932,19
"closeness_vitality","hub",-0.6931,19
"dangalchev","renewed_coreness",0.6931,19
"decay","renewed_coreness",0.6931,19
"delta_closeness","renewed_coreness",0.6931,19
"generalized_closeness","renewed_coreness",0.6931,19
"gilschmidt","renewed_coreness",0.6931,19
"harmonic","renewed_coreness",0.6931,19
"reaching_local","renewed_coreness",0.6931,19
"renewed_coreness","residual_closeness",0.6931,19
"constraint","expected_influence_2",-0.6929,19
"local_volume_dimension","node_contraction_improved",-0.6929,14
"gravity","leverage",0.6928,19
"constraint","subgraph",-0.6928,19
"cross_clique","flow_betweenness",0.6927,19
"delta_betweenness","information",0.6927,19
"hide_information","leverage",-0.6927,19
"constraint","leverage",-0.6923,19
"closeness_vitality","cross_clique",-0.6922,19
"leverage","local_dimension",-0.6922,19
"delta_betweenness","spanning_tree",0.6921,19
"current_flow_closeness","delta_betweenness",0.692,19
"integration","load",0.692,19
"integration","percolation",0.692,19
"average_distance","leverage",-0.6919,19
"barycenter","leverage",0.6919,19
"closeness","leverage",0.6919,19
"leverage","lin",0.6919,19
"leverage","radiality",0.6919,19
"leverage","wiener",-0.6919,19
"betweenness","integration",0.6918,19
"node_contraction","semilocal",0.6917,19
"comm_centrality","flow_betweenness",0.6916,19
"collective_influence","heatmap",-0.6916,19
"effective_size","kpath",0.6916,19
"infection","lac",0.6916,13
"infection","redundancy",0.6916,13
"constraint","eigenvector",-0.6915,19
"enrenew","information",0.6911,19
"local_bridging","voterank",-0.6911,19
"local_dimension","node_contraction",-0.6908,19
"collective_influence","random_walk",0.6908,19
"harary","two_way_rw",0.6906,14
"collective_influence","information",0.6903,19
"kpath","local_dimension_fixed",-0.6902,19
"community_based","local_entropy",-0.6902,19
"nonbacktracking","renewed_coreness",0.6902,19
"communicability_betweenness","flow_betweenness",0.6901,19
"centroid","local_dimension",-0.6899,19
"collective_influence","spanning_tree",0.6897,19
"collective_influence","current_flow_closeness",0.6896,19
"closeness_vitality","onion",-0.6891,19
"centroid","local_dimension_fixed",-0.689,19
"hub","node_contraction",0.689,19
"constraint","expected",-0.6888,19
"coreness","hide_information",-0.6888,19
"hide_information","local_hindex",-0.6888,19
