config_1,config_2,networks,mean_tau_b,mean_abs_tau_b,median_tau_b,min_tau_b,max_tau_b,min_abs_tau_b,mean_spearman,mean_pearson,domain_balanced_tau_b,mean_tau_without_kite,networks_abs_tau_ge_099,mean_raw_tie_sensitivity,max_raw_tie_sensitivity
betweenness,mdd,19,0.6781677011277132,0.6781677011277132,0.697978398862996,0.29277002188456,0.86584798406586,0.29277002188456,0.8014561352846592,0.7745486594003606,0.6085054521947345,0.6995786833078883,0,4.155132036625916e-05,0.000789475086958924
mdd,percolation,19,0.6781677011277132,0.6781677011277132,0.697978398862996,0.29277002188456,0.86584798406586,0.29277002188456,0.8014561352846592,0.7745486594003606,0.6085054521947345,0.6995786833078883,0,0.0,0.0
candidate_18,hide_information,19,-0.6780175945882316,0.6780175945882316,-0.713455953533398,-0.843171519287868,-0.524591034189451,0.524591034189451,-0.8237183779203834,-0.6987624304767411,-0.653790189203059,-0.6858660698363728,0,0.001537357771913626,0.012803043586363971
coreness,improved_closeness,19,0.6779601798946598,0.6779601798946598,0.711555598798481,0.363636363636364,0.80630396544789,0.363636363636364,0.7949526155084756,0.7077280692966136,0.6147583610039934,0.6888125738295943,0,0.0,0.0
improved_closeness,local_hindex,19,0.6779601798946598,0.6779601798946598,0.711555598798481,0.363636363636364,0.80630396544789,0.363636363636364,0.7949526155084756,0.7077280692966136,0.6147583610039934,0.6888125738295943,0,0.0,0.0
improved_closeness,s_core,19,0.6779601798946598,0.6779601798946598,0.711555598798481,0.363636363636364,0.80630396544789,0.363636363636364,0.7949526155084756,0.7077280692966136,0.6147583610039934,0.6888125738295943,0,0.0,0.0
improved_closeness,weighted_kshell,19,0.6779601798946598,0.6779601798946598,0.711555598798481,0.363636363636364,0.80630396544789,0.363636363636364,0.7949526155084756,0.7077280692966136,0.6147583610039934,0.6888125738295943,0,0.0,0.0
graph_regularization,lac,18,0.6779577312562299,0.6779577312562299,0.6996617564012195,0.359035895109662,0.867032403729787,0.359035895109662,0.8314686487133092,0.753584726862636,0.6642744858119249,0.6757002261050337,0,0.0020482904140851107,0.009333465952105047
graph_regularization,redundancy,18,0.6779577312562299,0.6779577312562299,0.6996617564012195,0.359035895109662,0.867032403729787,0.359035895109662,0.8314686487133092,0.753584726862636,0.6642744858119249,0.6757002261050337,0,0.0020482904140851107,0.009333465952105047
load,mdd,19,0.6778695900895684,0.6778695900895684,0.696551040174115,0.29277002188456,0.86584798406586,0.29277002188456,0.8009398351748442,0.7745548879110663,0.6078063633197253,0.6992640105454021,0,0.0004068415058247884,0.004814673610832987
pagerank,voterank,19,0.6778646966792515,0.6778646966792515,0.688888888888889,0.512208321854023,0.821117900257418,0.512208321854023,0.8320240109153081,0.7773948871002901,0.6668830231155118,0.6746310726078112,0,0.0067600689285670585,0.09162548552073391
constraint,dynamical_importance,14,-0.6778361276775887,0.6778361276775887,-0.7070070070070069,-0.855218855218855,-0.323636363636364,0.323636363636364,-0.8140715743455634,-0.6854741648940772,-0.63409581092045,-0.7006733389641432,0,0.0025255720022399303,0.012917415969792012
length_scaled_betweenness,wvoterank,19,0.6777633600726484,0.6777633600726484,0.693920335429769,0.542171134110374,0.860255500239144,0.542171134110374,0.8313472132804275,0.585243916826259,0.6548961831638451,0.683989912023949,0,0.00013007693742021106,0.0024714618109840103
community_based,delta_betweenness,19,0.6775955324245646,0.6775955324245646,0.680563007516068,0.337963184709687,0.835381383647173,0.337963184709687,0.8199695558566136,0.8196547597345653,0.5742394168508571,0.6964639961865022,0,0.0014783075370984216,0.02808784320487001
